창업기업현황별(1),대학구분별(1),2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020
창업기업현황별(1),대학구분별(1),대학 수 (개),창업기업 수 (개),평균 (개),대학 수 (개),창업기업 수 (개),평균 (개),대학 수 (개),창업기업 수 (개),평균 (개),대학 수 (개),창업기업 수 (개),평균 (개),대학 수 (개),창업기업 수 (개),평균 (개),대학 수 (개),창업기업 수 (개),평균 (개)
창업기업전체,전체,169,861,5.1,195,1191,6.1,217,1503,6.9,196,1534,7.8,195,1624,8.3,195,1805,9.3
창업기업전체,대학,119,710,6,133,978,7.4,143,1226,8.6,137,1285,9.4,146,1411,9.7,137,1540,11.2
창업기업전체,전문대학,50,151,3,62,213,3.4,74,277,3.7,59,249,4.2,49,213,4.3,58,265,4.6
매출발생기업,전체,106,262,3.3,133,351,2.6,128,365,2.9,120,376,3.1,129,400,3.1,129,495,3.8
매출발생기업,대학,77,208,3.4,97,270,2.8,88,278,3.2,91,308,3.4,97,334,3.4,92,394,4.3
매출발생기업,전문대학,29,54,3.2,36,81,2.3,40,87,2.2,29,68,2.3,32,66,2.1,37,101,2.7
고용발생기업,전체,67,593,8.9,84,203,2.4,77,204,2.6,85,244,2.9,99,303,3.1,83,322,3.9
고용발생기업,대학,50,474,9.5,65,160,2.5,49,142,2.9,71,211,3,80,278,3.5,69,295,4.3
고용발생기업,전문대학,17,119,7,19,43,2.3,28,62,2.2,14,33,2.4,19,25,1.3,14,27,1.9
